Project ID,Project Status,Project Name,Street Number ,Street Name,Street Type,Zip Code,Block,Lot,Supervisor District,City Analysis Neighborhood,Planning Neighborhood,Lead Agency,Program Area,Project Area,Project Type,Housing Tenure,SSP Acquisition Date,Issuance of Notice to Proceed,Issuance of Building Permit,Issuance of First Construction Document,Estimated/Actual Construction Start Date,Estimated Construction Completion,Project Lead Sponsor,Project Co-Sponsor,Project Owner,Planning  Case Number,Property Informaiton Map Link,Planning Entitlements,Entitlement Approval,Section 415 Declaration,Building Permit Number,Project Units,Affordable Units,Market Rate Units,% Affordable,SRO Units,Studio Units,1bd Units,2bd Units,3bd Units,4bd Units,5+ bd Units,Bedrooms to be determined,Mobility Units,Manager Units,Manager Unit(s) Type,Family Units,Senior Units,TAY Units,Homeless Units,Disabled Units,LOSP Units,Public Housing Replacement Units,20% AMI,30% AMI,40% AMi,50% AMI,55% AMI,60% AMI,80% AMI,90% AMI,100% AMI,105% AMI,110% AMI,120% AMI,130% AMI,150% AMI,AMI Undeclared,Latitude,Longitude,Location
2016-072,(4) Site Work Permit Issued,651 Geary,651,Geary,St,94102,318,20,5,Tenderloin,Downtown/Civic Center,MOHCD,Inclusionary Housing Program,Not in an OCII Project Area,New Construction,Ownership,,,12/04/2018,,06/04/2019,,Geary Place LLC,,,2014.0482,2014.0482 (http://propertymap.sfplanning.org/?search=2014.0482),"2014.0482C,2014.0482PPA,2014.0482U,2014.0482VAR",07/07/2016,On-site BMR Project,201706219947,52,6,46,12,0,1,3,2,0,0,0,,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,37.786363,-122.413954,"(37.786363, -122.413954)"
2018-013,(3) Design with Entitlements Approved,2140 Market,2140,Market,St,94114,3542,8,8,Castro/Upper Market,Castro/Upper Market,MOHCD,Inclusionary Housing Program,Not in an OCII Project Area,New Construction,Rental,,,,,07/29/2020,,,,,2014-002035PRJ,2014-002035PRJ (http://propertymap.sfplanning.org/?search=2014-002035PRJ),"11148PRV,11461PRV,2014-002035CUA,2014-002035ENV,2014-002035PPA,2014-002035TDM,2014-002035VAR",07/31/2018,On-site BMR Project,201704113735,91,13,78,14,0,8,0,5,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,1,0,0,0,3,0,0,0,0,37.7671503,-122.4299645,"(37.7671503, -122.4299645)"
2016-127,(2) Predevelopment Feasibility,CPS-Block 6a,99,Harney,Way,94124,5000,33,10,Bayview Hunters Point,Bayview,OCII,Limited Equity Program,HP Shipyard Phase 2,New Construction,Ownership,,,,,07/01/2023,,,,,,  (http://propertymap.sfplanning.org/?search=),,,,201712277403,128,13,115,10,0,0,0,0,0,0,0,,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,37.711111,-122.3864271,"(37.711111, -122.3864271)"
2022-004,(3) Design with Entitlements Approved,921 O'Farrell,921,O'Farrell,St,94109,718,20,5,Tenderloin,Downtown/Civic Center,MOHCD,Inclusionary Housing Program,Not in an OCII Project Area,New Construction,Rental,,,,,02/23/2024,,"Reuben, Junius & Rose, LLP",,,2018-014727PRJ,2018-014727PRJ (http://propertymap.sfplanning.org/?search=2018-014727PRJ),,02/24/2022,On-site BMR Project,,50,15,35,30,0,7,0,8,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,5,0,0,0,0,37.784646,-122.420019,"(37.784646, -122.420019)"
2021-017,(3) Design with Entitlements Approved,4716-4722 Mission,4716-4722,Mission,St,94112,6955,"014, 015",11,Outer Mission,Outer Mission,MOHCD,Inclusionary Housing Program,Not in an OCII Project Area,New Construction,Rental,,,,,07/21/2023,09/13/2025,Tortilla Flats LLC,,,2018-002625PRJ,2018-002625PRJ (http://propertymap.sfplanning.org/?search=2018-002625PRJ),,07/22/2021,On-site BMR Project,202112104169,24,3,21,13,0,0,2,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,37.722785,-122.4364502,"(37.722785, -122.4364502)"
1982-001a,(5) First Construction Document Issued,Throughline Scattered Sites - Tower Hotel,1527,Grant,Ave,94133,103,4,3,North Beach,North Beach,MOHCD,Multifamily Rental Program,Not in an OCII Project Area,Rehabilitation,Rental,,08/15/2022,11/09/2020,04/30/2023,08/15/2022,,Chinatown Community Development Center,,,2020-009877PRJ,2020-009877PRJ (http://propertymap.sfplanning.org/?search=2020-009877PRJ),,,,201809140179,33,33,0,100,33,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,37.801052,-122.4078219,"(37.801052, -122.4078219)"
2016-100,(1) Preliminary Phase,"HPSY II-CP, Block 4B",,,,94124,,,10,Bayview Hunters Point,Bayview,OCII,Multifamily Rental Program,Candlestick Point,New Construction,Rental,,06/30/2029,,,06/30/2029,12/22/1930,,,,Not Applicable,,,,,,90,89,1,99,0,0,0,0,0,0,0,89,0,1,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,37.72873834,-122.3658935,"(37.72873834, -122.3658935)"
2019-008,(4) Site Work Permit Issued,33 Norfolk St,33,Norfolk,St,94103,3521,"053A, 093",6,Mission,South of Market,MOHCD,Inclusionary Housing Program,Not in an OCII Project Area,New Construction,Ownership,,,06/26/2019,,12/25/2019,,The International Land Group,,,2014.0008,2014.0008 (http://propertymap.sfplanning.org/?search=2014.0008),,,,201310078679,19,3,16,16,0,2,1,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,37.7712588,-122.4140139,"(37.7712588, -122.4140139)"
2017-026,(5) First Construction Document Issued,342-360 5th,342-360,5th,St,94107,3753,147,6,South of Market,South of Market,MOHCD,Inclusionary Housing Program,Not in an OCII Project Area,New Construction,Ownership,,,12/21/2018,05/04/2020,06/21/2019,,"Reuben, Junius & Rose, LLP",,,2015-005863PRJ,2015-005863PRJ (http://propertymap.sfplanning.org/?search=2015-005863PRJ),"2015-005863CUA,2015-005863ENV,2015-005863ENX,2015-005863PPA,2015-005863TDM",,,201805310611,127,18,109,14,0,4,6,5,3,0,0,,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,37.7795412,-122.4028577,"(37.7795412, -122.4028577)"
2020-040,(3) Design with Entitlements Approved,725 Jamestown,725,Jamestown,Ave,94124,4991,276,10,Bayview Hunters Point,Bayview,MOHCD,Inclusionary Housing Program,Not in an OCII Project Area,New Construction,Ownership,,,,,07/23/2022,,,,,2019-002743PRJ,2019-002743PRJ (http://propertymap.sfplanning.org/?search=2019-002743PRJ),,07/24/2020,On-site BMR Project; Fee Payment,201912179797,122,22,100,18,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.7151087,-122.3891811,"(37.7151087, -122.3891811)"
