MOHCD Development ID,Development Name,Planning Approval Address,Marketing Address,Development Zip Code,Latitude and Longitude (Latitude),Latitude and Longitude (Longitude),Supervisor District,City Analysis Neighborhood,Planning Neighborhood,OCII Project Area,Lead Agency,Tenure,Development Type,Housing Program,Estimated/Actual Construction Start Date,# Income-Restricted Residential Units,# SRO Units,# Studios Units,# 1 Bedroom Units,# 2 Bedroom Units,# 3 Bedroom Units,# 4 Bedroom Units,# 5+ Bedroom Units,# Senior Units,# TAY Units,# Homeless Units,# LOSP Units,# VASH Units,# Market Rate Units,# Manager Units,Location
2013-058,100 Van Ness Apartments,100 Van Ness Ave,100 Van Ness Ave,94102,37.7767202,-122.4192082,6,Tenderloin,Downtown/Civic Center,Not in an OCII Project Area,MOHCD,Rental,New Construction,Inclusionary Housing Program,09/20/2016,50,0,6,26,18,0,0,0,0,0,0,0,0,0,0,POINT (-122.4192082 37.7767202)
2016-109,1001 Van Ness,1001 Van Ness Ave,1001 Van Ness Ave,94109,37.7849729,-122.4218618,2,Western Addition,Western Addition,Not in an OCII Project Area,MOHCD,Exempt Project,New Construction,Inclusionary Housing Program,10/19/2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (-122.4218618 37.7849729)
1996-015,1005 Larkin,1005 Larkin St,1005 Larkin St,94109,37.787133,-122.4184519,3,Nob Hill,Downtown/Civic Center,Not in an OCII Project Area,MOHCD,Rental,Rehabilitation,Multifamily Rental Program,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (-122.4184519 37.787133)
2021-014,1005 Powell,1009 Powell St,1005 Powell Street,94108,37.7940883,-122.4097954,3,Nob Hill,Nob Hill,Not in an OCII Project Area,MOHCD,Rental,Rehabilitation,Big Sites Program,,63,64,0,0,0,0,0,0,63,0,0,0,0,0,0,POINT (-122.4097954 37.7940883)
2017-003,1015 Shotwell,1015 Shotwell St,1015 Shotwell St,94110,37.7519166,-122.4148932,9,Mission,Mission,Not in an OCII Project Area,MOHCD,Rental,Rehabilitation,Small Sites Program,09/13/2017,10,0,2,7,1,0,0,0,0,0,0,0,0,0,0,POINT (-122.4148932 37.7519166)
1992-014,1028 Howard,1028 Howard St,1028 Howard St,94103,37.779469,-122.407922,6,South of Market,South of Market,South of Market,SFRA,Rental,New Construction,Multifamily Rental Program,,30,0,0,5,11,14,0,0,0,0,0,0,0,0,1,POINT (-122.407922 37.779469)
2017-009,1028 Market Street,1028 Market St,1028 Market St,94102,37.7818338,-122.4112267,5,Tenderloin,Downtown/Civic Center,Not in an OCII Project Area,MOHCD,Rental,New Construction,Inclusionary Housing Program,06/07/2019,26,0,13,6,7,0,0,0,0,0,0,0,0,0,0,POINT (-122.4112267 37.7818338)
2006-001,1036 Mission,1036 Mission St,1036 Mission St,94103,37.7804543,-122.4097045,6,South of Market,South of Market,Not in an OCII Project Area,MOHCD/SFRA,Rental,New Construction,Multifamily Rental Program,06/08/2016,83,0,0,38,38,7,0,0,0,0,40,15,0,0,0,POINT (-122.4097045 37.7804543)
2018-050,1049 Market,1049 Market St,1049 Market St,94103,37.7812365,-122.4111989,6,South of Market,South of Market,Not in an OCII Project Area,MOHCD,Rental,Rehabilitation,Small Sites Program,12/01/2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (-122.4111989 37.7812365)
2017-039,1064 Mission,1064-1068 Mission St,1064-1068 Mission St,94103,37.7804705,-122.4103578,6,South of Market,South of Market,Not in an OCII Project Area,MOHCD,Rental,New Construction,Multifamily Rental Program,03/16/2020,256,0,254,2,0,0,0,0,0,0,0,0,0,0,0,POINT (-122.4103578 37.7804705)
2004-024,10th & Mission Family Housing,1390 Mission St,1390 Mission St,94103,37.7756242,-122.4158817,6,South of Market,South of Market,Not in an OCII Project Area,MOHCD/SFRA,Rental,New Construction,Multifamily Rental Program,,136,0,0,34,42,60,0,0,0,0,44,44,0,0,1,POINT (-122.4158817 37.7756242)
2009-001,1100 Ocean,1100 Ocean Ave,1100 Ocean Ave,94112,37.72373,-122.45358,7,West of Twin Peaks,West of Twin Peaks,Not in an OCII Project Area,MOHCD/SFRA,Rental,New Construction,Multifamily Rental Program,06/14/2013,71,0,18,18,21,14,0,0,0,0,25,20,0,0,1,POINT (-122.45358 37.72373)
2012-019a,1101 Connecticut,1101 Connecticut St,1101 Connecticut St,94107,37.7521112,-122.3960203,10,Bayview Hunters Point,Potrero Hill,Not in an OCII Project Area,MOHCD,Rental,New Construction,HOPE SF,12/13/2016,72,0,2,10,51,9,0,0,0,0,0,0,0,0,0,POINT (-122.3960203 37.7521112)
